reaction,count
:ohayo_shrimp:,4103
:petpet:,2798
:ohan_yoyo:,2164
:kawaii:,1782
:igyo:,1412
:oyashrimp:,1308
:ablobcatfloofpat:,1263
:blobtoofast:,1234
:otsukaresamadesu:,1207
:blobcataww:,867
:ablobcatfloofpatfast:,856
:kawaii_xtu__i:,817
:meowhuggies:,716
:oya_shrimp:,702
:yoo__i:,602
:n_huhu:,592
:_ne:,565
:kawaiine:,559
:ablobcatnodmeltcry:,557
:uwa_xtu:,553
:aa:,547
:suge_ltu:,509
:suteki2:,460
:ofutonkaketeagemashoune:,433
:shrimpman_face:,400
:kusa:,391
:ouen_shiteru:,366
:kumapu_ouen:,349
:Shiropuyo_kusa:,348
:utsukushii:,347
:kakke_i:,343
:Shiropuyo_jururi:,342
:iinee:,337
:petthex_kumapu_tsuyosugi:,333
:kokumin_eiyosho:,331
:supertada:,321
:erashrimp:,319
:ganbatta_ne:,318
:smiling_meow_cyclops:,314
:iina_:,309
:iiyumemitene:,305
:ablobcatcryingcute:,304
:kyattukya:,296
:Shiropuyo_kirakiraeye:,293
:mogu:,289
:wakaru:,286
:4ttenakuinuanim:,286
:shrimpuppu:,275
:kawaekawae:,272
:uoooo:,271
:resonyance:,269
:Shiropuyo_sugoi:,264
:Shiropuyo_otukare:,264
:ablobcat_hyper_nod:,260
:koga_petpet:,257
:Shiropuyo_okaeri:,254
:araa:,252
:kyawawa:,251
:saikou:,251
:a:,250
:Shiropuyo_kawaii:,250
:kawaii2:,248
:otsu_curry:,246
:ohayoo:,245
:ja_oyoo:,244
:blob_dance4:,242
:jorrycat_soshout:,242
:omedetougozaimasuza:,242
:blob_super_nod:,241
:jorrycat_yeah:,240
:daijoubuka:,238
:Shiropuyo_wakaru:,235
:yatta_:,227
:yoi_ten:,226
:aruaru:,226
:eyes_fidgeting:,223
:gojiai:,220
:blobdance2:,218
:oltu:,215
:lutica_shrimpman:,214
:ara_suteki:,214
:Shiropuyo_naruhodo:,212
:nukeexplosion:,207
:matsuri:,204
:iine:,200
:meow_eyespout:,199
:Shiropuyo_rooting:,199
:kawaiii:,198
:naruhodonaa:,198
:otabe:,197
:blobwani_cheerup:,193
:blobcat_huggies:,192
:tsuyoi:,192
:5q_hoshii:,188
:erait:,188
:okiwotsukete:,187
:iizo:,184
:meow_hungry:,184
:oishisou:,183
:yamo:,178
(100 rows)
